Dates	Open	Close	High	Low	Volume	Cham_Trend	Cham_Osc_Pos	Cham_Osc_Neg	Volume_5_SMA
6/9/2021 0:00	4216.75	4216.75	4216.75	4216.75	1	0	0	0	0
6/9/2021 0:05	4217	4216.5	4217	4216.5	3	0	0	0	0
6/9/2021 0:10	4216.25	4216.5	4216.5	4215.75	7	0	0	0	0
6/9/2021 0:15	4216.5	4215.75	4216.5	4215	18	0	0	0	0
6/9/2021 0:20	4216	4216.25	4216.25	4216	3	0	0	0	6.4
6/9/2021 0:25	4216.5	4216.25	4216.5	4216	36	0	0	0	13.4
6/9/2021 0:30	4216.25	4216.25	4216.5	4215.75	37	0	0	0	20.2
6/9/2021 0:35	4216.5	4215.5	4216.5	4215.5	8	0	0	0	20.4
6/9/2021 0:40	4215.75	4216	4216	4215.75	5	0	0	0	17.8
6/9/2021 0:45	4215.5	4215.5	4215.5	4215.25	22	0	0	0	21.6
6/9/2021 0:50	4215.75	4216	4216	4215.5	11	0	0	0	16.6
6/9/2021 0:55	4215.75	4215.75	4215.75	4215.75	6	0	0	0	10.4
6/9/2021 1:00	4215.75	4215.5	4215.75	4215.25	11	0	0	0	11
6/9/2021 1:05	4215.75	4215.75	4215.75	4215.75	2	0	0	0	10.4
6/9/2021 1:10	4216.25	4216.25	4216.25	4215.75	6	0	0	0	7.2
6/9/2021 1:15	4217	4217	4217.75	4217	33	0	0	0	11.6
6/9/2021 1:20	4217.25	4217.75	4217.75	4217.25	10	0	2	0	12.4
6/9/2021 1:25	4217.5	4217.75	4218	4217.5	8	0	2	0	11.8
6/9/2021 1:30	4217.25	4216.25	4217.25	4216.25	7	0	0	0	12.8
6/9/2021 1:35	4215.75	4215.75	4216	4215.75	9	0	0	-1	13.4
6/9/2021 1:40	4215.75	4216.25	4216.25	4215.75	9	0	0	0	8.6
6/9/2021 1:45	4216	4216	4216	4216	2	0	0	0	7
6/9/2021 1:50	4215.25	4216	4216	4215.25	8	0	0	0	7
6/9/2021 1:55	4216	4215.75	4216.25	4215.75	5	0	0	-1	6.6
6/9/2021 2:00	4215.5	4215.75	4215.75	4215.5	12	0	0	-1	7.2
6/9/2021 2:05	4215.25	4214.75	4215.25	4214.75	12	0	0	-4	7.8
6/9/2021 2:10	4214	4214.75	4214.75	4213.75	12	0	0	-3	9.8
6/9/2021 2:15	4214	4214	4214.25	4213.75	26	0	0	-5	13.4
6/9/2021 2:20	4214	4215.25	4215.5	4214	9	0	0	0	14.2
6/9/2021 2:25	4215.25	4215	4215.25	4215	8	0	0	0	13.4
6/9/2021 2:30	4215	4214.75	4215	4214.75	7	0	0	-2	12.4
6/9/2021 2:35	4215	4216.25	4216.25	4215	11	1	1	0	12.2
6/9/2021 2:40	4216.25	4216.5	4216.5	4215.5	12	1	1	0	9.4
6/9/2021 2:45	4216.75	4216.5	4216.75	4216	24	1	2	0	12.4
6/9/2021 2:50	4216.25	4216	4216.25	4216	10	1	1	0	12.8
6/9/2021 2:55	4216	4216.75	4216.75	4216	5	1	2	0	12.4
6/9/2021 3:00	4216.5	4216	4216.5	4215.25	14	1	1	0	13
6/9/2021 3:05	4216.5	4217.25	4217.25	4216.5	24	1	4	0	15.4
6/9/2021 3:10	4216.25	4216.25	4216.25	4215.5	22	1	0	0	15
6/9/2021 3:15	4216.5	4216.5	4217.5	4216.25	29	1	0	0	18.8
6/9/2021 3:20	4217	4217.25	4217.5	4217	18	1	3	0	21.4
